#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Rock n Roll Racing;Rock n Roll Racing;Super Nintendo;;;;;;;;;;;;;;;;;;
Secret of Evermore;Secret of Evermore;Super Nintendo;;;;;;;;;;;;;;;;;;
Secret of Mana;Secret of Mana;Super Nintendo;;;;;;;;;;;;;;;;;;
Skyblazer;Skyblazer;Super Nintendo;;;;;;;;;;;;;;;;;;
Space Megaforce (USA);Space Megaforce (USA);Super Nintendo;;;;;;;;;;;;;;;;;;
Sparkster;Sparkster;Super Nintendo;;;;;;;;;;;;;;;;;;
Spider-Man & Venom - Maximum Carnage;Spider-Man & Venom - Maximum Carnage;Super Nintendo;;;;;;;;;;;;;;;;;;
Spindizzy Worlds;Spindizzy Worlds;Super Nintendo;;;;;;;;;;;;;;;;;;
Spriggan_Powered;Spriggan_Powered;Super Nintendo;;;;;;;;;;;;;;;;;;
Star Fox;Star Fox;Super Nintendo;;;;;;;;;;;;;;;;;;
Street Fighter II Turbo SNES;Street Fighter II Turbo SNES;Super Nintendo;;;;;;;;;;;;;;;;;;
Stunt Race FX;Stunt Race FX;Super Nintendo;;;;;;;;;;;;;;;;;;
Super Bomberman V;Super Bomberman V;Super Nintendo;;;;;;;;;;;;;;;;;;
Super Bonk;Super Bonk;Super Nintendo;;;;;;;;;;;;;;;;;;
Super Castlevania IV;Super Castlevania IV;Super Nintendo;;;;;;;;;;;;;;;;;;
Super Double Dragon;Super Double Dragon;Super Nintendo;;;;;;;;;;;;;;;;;;
Super Ghouls n Ghosts;Super Ghouls n Ghosts;Super Nintendo;;;;;;;;;;;;;;;;;;
Super James Pond;Super James Pond;Super Nintendo;;;;;;;;;;;;;;;;;;
Super Mario All Stars;Super Mario All Stars;Super Nintendo;;;;;;;;;;;;;;;;;;
Super Mario Kart;Super Mario Kart;Super Nintendo;;;;;;;;;;;;;;;;;;
Super Mario RPG;Super Mario RPG;Super Nintendo;;;;;;;;;;;;;;;;;;
Super Mario World 1;Super Mario World 1;Super Nintendo;;;;;;;;;;;;;;;;;;
Super Mario World II;Super Mario World II;Super Nintendo;;;;;;;;;;;;;;;;;;
Super Metroid;Super Metroid;Super Nintendo;;;;;;;;;;;;;;;;;;
Super Punch-Out!!;Super Punch-Out!!;Super Nintendo;;;;;;;;;;;;;;;;;;
Super Putty;Super Putty;Super Nintendo;;;;;;;;;;;;;;;;;;
Super R Type;Super R Type;Super Nintendo;;;;;;;;;;;;;;;;;;
Super Star Wars;Super Star Wars;Super Nintendo;;;;;;;;;;;;;;;;;;
Super Star Wars II;Super Star Wars II;Super Nintendo;;;;;;;;;;;;;;;;;;
Super Star Wars III;Super Star Wars III;Super Nintendo;;;;;;;;;;;;;;;;;;
Super Tennis;Super Tennis;Super Nintendo;;;;;;;;;;;;;;;;;;
Super Turrican I;Super Turrican I;Super Nintendo;;;;;;;;;;;;;;;;;;
Super Turrican II;Super Turrican II;Super Nintendo;;;;;;;;;;;;;;;;;;
Super Valis IV;Super Valis IV;Super Nintendo;;;;;;;;;;;;;;;;;;
Teenage Mutant Ninja Turtles IV;Teenage Mutant Ninja Turtles IV;Super Nintendo;;;;;;;;;;;;;;;;;;
Tetris Attack;Tetris Attack;Super Nintendo;;;;;;;;;;;;;;;;;;
Tetris and Dr. Mario;Tetris and Dr. Mario;Super Nintendo;;;;;;;;;;;;;;;;;;
Tiny Toon Adventures;Tiny Toon Adventures;Super Nintendo;;;;;;;;;;;;;;;;;;
U.N. Squadron snes;U.N. Squadron snes;Super Nintendo;;;;;;;;;;;;;;;;;;
Uniracers;Uniracers;Super Nintendo;;;;;;;;;;;;;;;;;;
Vortex;Vortex;Super Nintendo;;;;;;;;;;;;;;;;;;
Wario's Woods;Wario's Woods;Super Nintendo;;;;;;;;;;;;;;;;;;
Wild Guns;Wild Guns;Super Nintendo;;;;;;;;;;;;;;;;;;
Zombies Ate My Neighbors;Zombies Ate My Neighbors;Super Nintendo;;;;;;;;;;;;;;;;;;
