#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Sangokushi 3 (Korea) (Unl);Sangokushi 3 (Korea) (Unl);SEGA Master System;;;;;;;;;;;;;;;;;;
Satellite 7 (Japan);Satellite 7 (Japan);SEGA Master System;;;;;;;;;;;;;;;;;;
Schtroumpfs Autour du Monde, Les (Europe) (En,Fr,De,Es);Schtroumpfs Autour du Monde, Les (Europe) (En,Fr,De,Es);SEGA Master System;;;;;;;;;;;;;;;;;;
Scramble Spirits (Europe);Scramble Spirits (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Sega Chess (Europe);Sega Chess (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Sega World Tournament Golf (Europe);Sega World Tournament Golf (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Sensible Soccer (Europe);Sensible Soccer (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Shadow Dancer (Europe);Shadow Dancer (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Shadow of the Beast (Europe);Shadow of the Beast (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Shanghai (USA, Europe);Shanghai (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Shinobi (USA, Europe);Shinobi (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Shooting Gallery (USA, Europe);Shooting Gallery (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Simpsons, The - Bart vs. the Space Mutants (Europe);Simpsons, The - Bart vs. the Space Mutants (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Simpsons, The - Bart vs. the World (Europe);Simpsons, The - Bart vs. the World (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Sitio do Picapau Amarelo (Brazil);Sitio do Picapau Amarelo (Brazil);SEGA Master System;;;;;;;;;;;;;;;;;;
Slap Shot (USA);Slap Shot (USA);SEGA Master System;;;;;;;;;;;;;;;;;;
Smurfs, The (Europe) (En,Fr,De,Es);Smurfs, The (Europe) (En,Fr,De,Es);SEGA Master System;;;;;;;;;;;;;;;;;;
Solomon no Kagi - Oujo Rihita no Namida (Japan);Solomon no Kagi - Oujo Rihita no Namida (Japan);SEGA Master System;;;;;;;;;;;;;;;;;;
Sonic Blast (Brazil);Sonic Blast (Brazil);SEGA Master System;;;;;;;;;;;;;;;;;;
Sonic Chaos (Europe);Sonic Chaos (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Sonic Spinball (Europe);Sonic Spinball (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Sonic The Hedgehog (USA, Europe);Sonic The Hedgehog (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Sonic The Hedgehog 2 (Europe) (Rev 1);Sonic The Hedgehog 2 (Europe) (Rev 1);SEGA Master System;;;;;;;;;;;;;;;;;;
Sonic's Edusoft (Unknown) (Proto);Sonic's Edusoft (Unknown) (Proto);SEGA Master System;;;;;;;;;;;;;;;;;;
Space Gun (Europe);Space Gun (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Space Harrier (Japan, USA);Space Harrier (Japan, USA);SEGA Master System;;;;;;;;;;;;;;;;;;
Space Harrier 3-D (USA, Europe);Space Harrier 3-D (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Special Criminal Investigation (Europe);Special Criminal Investigation (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Speedball (Europe) (Image Works);Speedball (Europe) (Image Works);SEGA Master System;;;;;;;;;;;;;;;;;;
Speedball 2 (Europe);Speedball 2 (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
SpellCaster (USA, Europe);SpellCaster (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Spider-Man - Return of the Sinister Six (Europe);Spider-Man - Return of the Sinister Six (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Spider-Man vs. The Kingpin (USA, Europe);Spider-Man vs. The Kingpin (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Sports Pad Football (USA);Sports Pad Football (USA);SEGA Master System;;;;;;;;;;;;;;;;;;
Spy vs. Spy (USA, Europe);Spy vs. Spy (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Star Wars (Europe);Star Wars (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Street Fighter II (Brazil);Street Fighter II (Brazil);SEGA Master System;;;;;;;;;;;;;;;;;;
Street Master (Korea) (Unl);Street Master (Korea) (Unl);SEGA Master System;;;;;;;;;;;;;;;;;;
Strider (USA, Europe);Strider (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Strider II (Europe);Strider II (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Submarine Attack (Europe);Submarine Attack (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Sukeban Deka II - Shoujo Tekkamen Densetsu (Japan) (T);Sukeban Deka II - Shoujo Tekkamen Densetsu (Japan) (T);SEGA Master System;;;;;;;;;;;;;;;;;;
Summer Games (Europe);Summer Games (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Super Boy 4 (Korea) (Unl);Super Boy 4 (Korea) (Unl);SEGA Master System;;;;;;;;;;;;;;;;;;
Super Boy II (Korea) (Pirate);Super Boy II (Korea) (Pirate);SEGA Master System;;;;;;;;;;;;;;;;;;
Super Kick Off (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv);Super Kick Off (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv);SEGA Master System;;;;;;;;;;;;;;;;;;
Super Monaco GP (USA);Super Monaco GP (USA);SEGA Master System;;;;;;;;;;;;;;;;;;
Super Off Road (Europe);Super Off Road (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Super Racing (Japan);Super Racing (Japan);SEGA Master System;;;;;;;;;;;;;;;;;;
Super Smash T.V. (Europe);Super Smash T.V. (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Super Space Invaders (Europe);Super Space Invaders (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Super Tennis (USA, Europe);Super Tennis (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Superman - The Man of Steel (Europe);Superman - The Man of Steel (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
T2 - The Arcade Game (Europe);T2 - The Arcade Game (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Taito Chase H.Q. (Europe);Taito Chase H.Q. (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Taz in Escape from Mars (Brazil);Taz in Escape from Mars (Brazil);SEGA Master System;;;;;;;;;;;;;;;;;;
Taz-Mania (Europe);Taz-Mania (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Tecmo World Cup '93 (Europe);Tecmo World Cup '93 (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Teddy Boy (USA, Europe);Teddy Boy (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Tennis Ace (Europe);Tennis Ace (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Terminator 2 - Judgment Day (Europe);Terminator 2 - Judgment Day (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Terminator, The (Europe);Terminator, The (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Three Dragon Story, The (Korea) (Unl);Three Dragon Story, The (Korea) (Unl);SEGA Master System;;;;;;;;;;;;;;;;;;
Thunder Blade (USA, Europe);Thunder Blade (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Time Soldiers (USA, Europe);Time Soldiers (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Tom and Jerry - The Movie (Europe);Tom and Jerry - The Movie (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Toto World 3 (Korea) (Unl);Toto World 3 (Korea) (Unl);SEGA Master System;;;;;;;;;;;;;;;;;;
TransBot (USA, Europe);TransBot (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Trivial Pursuit - Genus Edition (Europe) (En,Fr,De,Es);Trivial Pursuit - Genus Edition (Europe) (En,Fr,De,Es);SEGA Master System;;;;;;;;;;;;;;;;;;
Ultima IV - Quest of the Avatar (Europe);Ultima IV - Quest of the Avatar (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Ultimate Soccer (Europe) (En,Fr,De,Es,It);Ultimate Soccer (Europe) (En,Fr,De,Es,It);SEGA Master System;;;;;;;;;;;;;;;;;;
Vigilante (USA, Europe);Vigilante (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Virtua Fighter Animation (Brazil);Virtua Fighter Animation (Brazil);SEGA Master System;;;;;;;;;;;;;;;;;;
WWF Wrestlemania - Steel Cage Challenge (Europe);WWF Wrestlemania - Steel Cage Challenge (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Walter Payton Football (USA);Walter Payton Football (USA);SEGA Master System;;;;;;;;;;;;;;;;;;
Wanted (USA, Europe);Wanted (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Where in the World is Carmen Sandiego (USA);Where in the World is Carmen Sandiego (USA);SEGA Master System;;;;;;;;;;;;;;;;;;
Wimbledon (Europe);Wimbledon (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Wimbledon II (Europe);Wimbledon II (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Winter Olympics - Lillehammer '94 (Europe) (En,Fr,De,Es,It,Pt,Sv,No);Winter Olympics - Lillehammer '94 (Europe) (En,Fr,De,Es,It,Pt,Sv,No);SEGA Master System;;;;;;;;;;;;;;;;;;
Wolfchild (Europe);Wolfchild (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Wonder Boy (USA, Europe);Wonder Boy (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Wonder Boy III - The Dragon's Trap (USA, Europe);Wonder Boy III - The Dragon's Trap (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Wonder Boy in Monster Land (USA, Europe);Wonder Boy in Monster Land (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Wonder Boy in Monster World (Europe);Wonder Boy in Monster World (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Woody Pop - Shinjinrui no Block Kuzushi (Japan);Woody Pop - Shinjinrui no Block Kuzushi (Japan);SEGA Master System;;;;;;;;;;;;;;;;;;
World Class Leader Board (Europe);World Class Leader Board (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
World Cup Italia '90 (Europe);World Cup Italia '90 (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
World Cup USA 94 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv);World Cup USA 94 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv);SEGA Master System;;;;;;;;;;;;;;;;;;
World Games (Europe);World Games (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
World Grand Prix (USA);World Grand Prix (USA);SEGA Master System;;;;;;;;;;;;;;;;;;
World Soccer (World);World Soccer (World);SEGA Master System;;;;;;;;;;;;;;;;;;
X-Men - Mojo World (Brazil);X-Men - Mojo World (Brazil);SEGA Master System;;;;;;;;;;;;;;;;;;
Xenon 2 - Megablast (Europe) (Image Works);Xenon 2 - Megablast (Europe) (Image Works);SEGA Master System;;;;;;;;;;;;;;;;;;
Ys - The Vanished Omens (USA, Europe);Ys - The Vanished Omens (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Zaxxon 3-D (World);Zaxxon 3-D (World);SEGA Master System;;;;;;;;;;;;;;;;;;
Zillion (USA) (Rev 1);Zillion (USA) (Rev 1);SEGA Master System;;;;;;;;;;;;;;;;;;
Zillion II - The Tri Formation (World);Zillion II - The Tri Formation (World);SEGA Master System;;;;;;;;;;;;;;;;;;
Zool - Ninja of the 'Nth' Dimension (Europe);Zool - Ninja of the 'Nth' Dimension (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
