#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Champions of Europe (Europe);Champions of Europe (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Championship Hockey (Europe);Championship Hockey (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Cheese Cat-astrophe Starring Speedy Gonzales (Europe) (En,Fr,De,Es);Cheese Cat-astrophe Starring Speedy Gonzales (Europe) (En,Fr,De,Es);SEGA Master System;;;;;;;;;;;;;;;;;;
Choplifter (USA, Europe);Choplifter (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Chuck Rock (Europe);Chuck Rock (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Chuck Rock II - Son of Chuck (Europe);Chuck Rock II - Son of Chuck (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Cloud Master (USA, Europe);Cloud Master (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Columns (USA, Europe);Columns (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Comical Machine Gun Joe (Taiwan);Comical Machine Gun Joe (Taiwan);SEGA Master System;;;;;;;;;;;;;;;;;;
Cool Spot (Europe);Cool Spot (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Cosmic Spacehead (Europe) (En,Fr,De,Es);Cosmic Spacehead (Europe) (En,Fr,De,Es);SEGA Master System;;;;;;;;;;;;;;;;;;
Cyber Shinobi, The (Europe);Cyber Shinobi, The (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Cyborg Hunter (USA, Europe);Cyborg Hunter (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Daffy Duck in Hollywood (Europe) (En,Fr,De,Es,It);Daffy Duck in Hollywood (Europe) (En,Fr,De,Es,It);SEGA Master System;;;;;;;;;;;;;;;;;;
Dallyeora Pigu-Wang (Korea) (Unl);Dallyeora Pigu-Wang (Korea) (Unl);SEGA Master System;;;;;;;;;;;;;;;;;;
Danan - The Jungle Fighter (Europe);Danan - The Jungle Fighter (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Dead Angle (USA, Europe);Dead Angle (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Deep Duck Trouble Starring Donald Duck (Europe);Deep Duck Trouble Starring Donald Duck (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Desert Speedtrap Starring Road Runner and Wile E. Coyote (Europe) (En,Fr,De,Es,It);Desert Speedtrap Starring Road Runner and Wile E. Coyote (Europe) (En,Fr,De,Es,It);SEGA Master System;;;;;;;;;;;;;;;;;;
Desert Strike (Europe) (En,Fr,De,Es);Desert Strike (Europe) (En,Fr,De,Es);SEGA Master System;;;;;;;;;;;;;;;;;;
Dick Tracy (USA, Europe);Dick Tracy (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Dinobasher Starring Bignose the Caveman (Europe) (Proto);Dinobasher Starring Bignose the Caveman (Europe) (Proto);SEGA Master System;;;;;;;;;;;;;;;;;;
Dinosaur Dooley, The (Korea) (Unl);Dinosaur Dooley, The (Korea) (Unl);SEGA Master System;;;;;;;;;;;;;;;;;;
Double Dragon (World);Double Dragon (World);SEGA Master System;;;;;;;;;;;;;;;;;;
