#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
ssrpg;ssrpg;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
stakwin;stakwin;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
strhoop;strhoop;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
superspy;superspy;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
tophuntr;tophuntr;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
totcarbn;totcarbn;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
tpgolf;tpgolf;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
turfmast;turfmast;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
twinspri;twinspri;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
viewpoin;viewpoin;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
wh1;wh1;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
wh2;wh2;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
wh2j;wh2j;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
whp;whp;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
wjammers;wjammers;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
zintrckb;zintrckb;SNK NeoGeo CD;;;;;;;;;;;;;;;;;;
