#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
B.O.B. (USA, Europe);B.O.B. (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Back to the Future Part III (USA);Back to the Future Part III (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Ball Jacks (Japan, Europe);Ball Jacks (Japan, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Ballz 3D - Fighting at Its Ballziest (USA, Europe);Ballz 3D - Fighting at Its Ballziest (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Barbie Super Model (USA);Barbie Super Model (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Barkley Shut Up and Jam! (USA, Europe);Barkley Shut Up and Jam! (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Barkley Shut Up and Jam! 2 (USA);Barkley Shut Up and Jam! 2 (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Barney's Hide & Seek Game (USA);Barney's Hide & Seek Game (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Bass Masters Classic (USA);Bass Masters Classic (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Bass Masters Classic - Pro Edition (USA);Bass Masters Classic - Pro Edition (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Batman (USA);Batman (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Batman - Revenge of the Joker (USA);Batman - Revenge of the Joker (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Batman Forever (World);Batman Forever (World);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Batman Returns (World);Batman Returns (World);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Battle Squadron;Battle Squadron;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Battle Squadron (USA, Europe);Battle Squadron (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
BattleTech - A Game of Armored Combat (USA);BattleTech - A Game of Armored Combat (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Battlemaster (USA);Battlemaster (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Battletoads & Double Dragon (USA);Battletoads & Double Dragon (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Battletoads (World);Battletoads (World);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Beast Wrestler (USA);Beast Wrestler (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Beauty and the Beast - Belle's Quest (USA);Beauty and the Beast - Belle's Quest (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Beauty and the Beast - Roar of the Beast (USA);Beauty and the Beast - Roar of the Beast (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Beavis and Butt-Head (USA);Beavis and Butt-Head (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Berenstain Bears' Camping Adventure, The (USA);Berenstain Bears' Camping Adventure, The (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Best of the Best;Best of the Best;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Best of the Best - Championship Karate (USA);Best of the Best - Championship Karate (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Beyond Oasis;Beyond Oasis;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Beyond Oasis (USA);Beyond Oasis (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Bible Adventures (USA) (Unl);Bible Adventures (USA) (Unl);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
