#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Ecco - The Tides of Time (USA);Ecco - The Tides of Time (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Ecco Jr;Ecco Jr;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Ecco Jr. (USA, Australia);Ecco Jr. (USA, Australia);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Ecco The Tides of Time;Ecco The Tides of Time;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Ecco the Dolphin (USA, Europe);Ecco the Dolphin (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
El Viento;El Viento;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
El. Viento (USA);El. Viento (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Elemental Master;Elemental Master;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Elemental Master (USA);Elemental Master (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Eliminate Down;Eliminate Down;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Eternal Champions;Eternal Champions;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Eternal Champions (USA);Eternal Champions (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Evander Holyfield's 'Real Deal' Boxing (World);Evander Holyfield's 'Real Deal' Boxing (World);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Ex-Mutants (USA, Europe);Ex-Mutants (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Exile (USA);Exile (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Exo Squad (USA);Exo Squad (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Exodus - Journey to the Promised Land (USA) (Unl);Exodus - Journey to the Promised Land (USA) (Unl);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
F-117 Night Storm (USA, Europe);F-117 Night Storm (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
F-15 Strike Eagle II (USA);F-15 Strike Eagle II (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
F-22 Interceptor (USA, Europe);F-22 Interceptor (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
F1 - World Championship Edition (Europe);F1 - World Championship Edition (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
FIFA 98 - Road to World Cup (Europe);FIFA 98 - Road to World Cup (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
FIFA International Soccer (USA, Europe);FIFA International Soccer (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
FIFA Soccer 95 (USA, Europe);FIFA Soccer 95 (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
FIFA Soccer 96 (USA, Europe);FIFA Soccer 96 (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
FIFA Soccer 97 (USA, Europe);FIFA Soccer 97 (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Faery Tale Adventure, The (USA, Europe);Faery Tale Adventure, The (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Family Feud (USA);Family Feud (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Fantasia (World) (Rev A);Fantasia (World) (Rev A);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Fantastic Dizzy (USA, Europe);Fantastic Dizzy (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Fatal Fury (USA);Fatal Fury (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Fatal Fury 2 (USA, Korea);Fatal Fury 2 (USA, Korea);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Fatal Labyrinth (USA, Europe);Fatal Labyrinth (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Fatal Rewind (USA, Europe);Fatal Rewind (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Ferrari Grand Prix Challenge (USA);Ferrari Grand Prix Challenge (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Fighting Masters (USA);Fighting Masters (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Final Zone (Japan, USA);Final Zone (Japan, USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Fire Shark (USA);Fire Shark (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Flashback - The Quest for Identity (USA);Flashback - The Quest for Identity (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Flicky (USA, Europe);Flicky (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Flink (Europe);Flink (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Flintstones, The (USA);Flintstones, The (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Foreman for Real (World);Foreman for Real (World);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Forgotten Worlds (World) (v1.1);Forgotten Worlds (World) (v1.1);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Formula One (USA);Formula One (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Frank Thomas Big Hurt Baseball (USA, Europe);Frank Thomas Big Hurt Baseball (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Frogger (USA);Frogger (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Fun 'N' Games (USA);Fun 'N' Games (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Funny World & Balloon Boy (USA) (Unl);Funny World & Balloon Boy (USA) (Unl);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
G-LOC Air Battle (World);G-LOC Air Battle (World);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Gadget Twins (USA);Gadget Twins (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Gaiares;Gaiares;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Gaiares (Japan, USA);Gaiares (Japan, USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Gain Ground (World);Gain Ground (World);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Galaxy Force II (World) (Rev B);Galaxy Force II (World) (Rev B);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Garfield - Caught in the Act (USA, Europe);Garfield - Caught in the Act (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Gargoyles (USA);Gargoyles (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Gauntlet IV (USA, Europe);Gauntlet IV (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Gemfire (USA);Gemfire (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
General Chaos;General Chaos;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
General Chaos (USA, Europe);General Chaos (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Generations Lost (USA, Europe);Generations Lost (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Genghis Khan II - Clan of the Gray Wolf (USA);Genghis Khan II - Clan of the Gray Wolf (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
George Foreman's KO Boxing (USA);George Foreman's KO Boxing (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Ghostbusters (World) (v1.1);Ghostbusters (World) (v1.1);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Ghouls 'n Ghosts (USA, Europe) (Rev A);Ghouls 'n Ghosts (USA, Europe) (Rev A);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Gods;Gods;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Gods (USA);Gods (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Golden Axe (World) (v1.1);Golden Axe (World) (v1.1);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Golden Axe 2;Golden Axe 2;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Golden Axe 3;Golden Axe 3;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Golden Axe II (World);Golden Axe II (World);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Goofy's Hysterical History Tour (USA);Goofy's Hysterical History Tour (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Granada;Granada;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Granada (Japan, USA) (v1.1);Granada (Japan, USA) (v1.1);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Great Circus Mystery Starring Mickey & Minnie, The (USA);Great Circus Mystery Starring Mickey & Minnie, The (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Great Waldo Search, The (USA);Great Waldo Search, The (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Greatest Heavyweights (USA);Greatest Heavyweights (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Greendog - The Beached Surfer Dude! (USA, Europe);Greendog - The Beached Surfer Dude! (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Grind Stormer (USA);Grind Stormer (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Growl (USA);Growl (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Gunship (Europe);Gunship (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Gunstar Heroes;Gunstar Heroes;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Gunstar Heroes (USA);Gunstar Heroes (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Hard Drivin' (World);Hard Drivin' (World);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
HardBall '94 (USA, Europe);HardBall '94 (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
HardBall '95 (USA);HardBall '95 (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
HardBall III (USA);HardBall III (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
HardBall! (USA);HardBall! (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Haunting Starring Polterguy (USA, Europe);Haunting Starring Polterguy (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Head-On Soccer (USA);Head-On Soccer (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Heavy Nova (USA);Heavy Nova (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Hellfire (USA);Hellfire (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Herzog Zwei;Herzog Zwei;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Herzog Zwei (USA, Europe);Herzog Zwei (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
High Seas Havoc;High Seas Havoc;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
High Seas Havoc (USA);High Seas Havoc (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Hit the Ice (USA);Hit the Ice (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Home Alone (USA, Europe);Home Alone (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Home Alone 2 - Lost in New York (USA);Home Alone 2 - Lost in New York (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Hook (USA);Hook (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Humans, The (USA);Humans, The (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Hurricanes (Europe);Hurricanes (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
IMG International Tour Tennis (USA, Europe);IMG International Tour Tennis (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Immortal, The (USA, Europe);Immortal, The (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Incredible Crash Dummies, The (USA, Europe);Incredible Crash Dummies, The (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Incredible Hulk, The (USA, Europe);Incredible Hulk, The (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Indiana Jones and the Last Crusade;Indiana Jones and the Last Crusade;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Indiana Jones and the Last Crusade (USA);Indiana Jones and the Last Crusade (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Insector X (USA);Insector X (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Instruments of Chaos Starring Young Indiana Jones (USA);Instruments of Chaos Starring Young Indiana Jones (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
International Rugby (Europe);International Rugby (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
International Superstar Soccer Deluxe (Europe);International Superstar Soccer Deluxe (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Ishido - The Way of Stones (USA);Ishido - The Way of Stones (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Izzy's Quest for the Olympic Rings;Izzy's Quest for the Olympic Rings;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Izzy's Quest for the Olympic Rings (USA, Europe);Izzy's Quest for the Olympic Rings (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Jack Nicklaus' Power Challenge Golf (USA, Europe);Jack Nicklaus' Power Challenge Golf (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
James 'Buster' Douglas Knockout Boxing (USA, Europe);James 'Buster' Douglas Knockout Boxing (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
James Bond 007 - The Duel (USA);James Bond 007 - The Duel (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
James Pond;James Pond;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
James Pond - Underwater Agent (USA, Europe);James Pond - Underwater Agent (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
James Pond 2;James Pond 2;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
James Pond 3;James Pond 3;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
James Pond 3 (USA, Europe);James Pond 3 (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
James Pond II - Codename Robocod (USA, Europe);James Pond II - Codename Robocod (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Jammit (USA);Jammit (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Jennifer Capriati Tennis (USA);Jennifer Capriati Tennis (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Jeopardy! (USA);Jeopardy! (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Jeopardy! - Deluxe Edition (USA);Jeopardy! - Deluxe Edition (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Jeopardy! - Sports Edition (USA);Jeopardy! - Sports Edition (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Jerry Glanville's Pigskin Footbrawl (USA);Jerry Glanville's Pigskin Footbrawl (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Jewel Master (USA, Europe) (Rev A);Jewel Master (USA, Europe) (Rev A);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Jimmy White's Whirlwind Snooker (Europe);Jimmy White's Whirlwind Snooker (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Joe & Mac (USA);Joe & Mac (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Joe Montana Football (World);Joe Montana Football (World);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Joe Montana II Sports Talk Football (World) (Rev A);Joe Montana II Sports Talk Football (World) (Rev A);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
John Madden Football '92 (USA, Europe);John Madden Football '92 (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
John Madden Football '93 (USA, Europe);John Madden Football '93 (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
John Madden Football (USA, Europe);John Madden Football (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
John Madden Football - Championship Edition (USA);John Madden Football - Championship Edition (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Jordan Vs Bird (USA, Europe) (v1.1);Jordan Vs Bird (USA, Europe) (v1.1);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Joshua & The Battle of Jericho (USA) (Unl);Joshua & The Battle of Jericho (USA) (Unl);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Judge Dredd (World);Judge Dredd (World);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Junction (Japan, USA);Junction (Japan, USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Jungle Book, The (USA);Jungle Book, The (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Jungle Strike;Jungle Strike;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Jungle Strike (USA, Europe);Jungle Strike (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Jurassic Park;Jurassic Park;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Jurassic Park (USA);Jurassic Park (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Jurassic Park - Rampage Edition (USA, Europe);Jurassic Park - Rampage Edition (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Jurassic Park 2 - The Lost World;Jurassic Park 2 - The Lost World;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Justice League Task Force (World);Justice League Task Force (World);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Ka-Ge-Ki - Fists of Steel (USA);Ka-Ge-Ki - Fists of Steel (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Kawasaki Superbike Challenge (USA, Europe);Kawasaki Superbike Challenge (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Kick Off 3 - European Challenge (Europe);Kick Off 3 - European Challenge (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Kid Chameleon;Kid Chameleon;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Kid Chameleon (USA, Europe);Kid Chameleon (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
King Salmon - The Big Catch (USA);King Salmon - The Big Catch (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
King of the Monsters (USA);King of the Monsters (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
King of the Monsters 2 (USA);King of the Monsters 2 (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
King's Bounty - The Conqueror's Quest (USA, Europe);King's Bounty - The Conqueror's Quest (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Klax (USA, Europe);Klax (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Krusty's Super Fun House;Krusty's Super Fun House;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Krusty's Super Fun House (USA, Europe) (v1.1);Krusty's Super Fun House (USA, Europe) (v1.1);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
LHX Attack Chopper (USA, Europe);LHX Attack Chopper (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
La Russa Baseball 95 (USA, Australia);La Russa Baseball 95 (USA, Australia);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Lakers versus Celtics and the NBA Playoffs (USA);Lakers versus Celtics and the NBA Playoffs (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Landstalker (USA);Landstalker (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Last Action Hero (USA, Europe);Last Action Hero (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Last Battle (USA, Europe);Last Battle (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Lawnmower Man, The (USA, Europe);Lawnmower Man, The (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Legend of Galahad, The;Legend of Galahad, The;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Legend of Galahad, The (USA, Europe);Legend of Galahad, The (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Lemmings (Japan, USA) (v1.1);Lemmings (Japan, USA) (v1.1);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Lemmings 2 - The Tribes (USA);Lemmings 2 - The Tribes (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Lethal Enforcers (USA);Lethal Enforcers (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Lethal Enforcers II - Gun Fighters (USA);Lethal Enforcers II - Gun Fighters (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Liberty or Death (USA);Liberty or Death (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Light Crusader (USA);Light Crusader (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Lightening Force - Quest for the Darkstar (USA);Lightening Force - Quest for the Darkstar (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Lion King;Lion King;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Lion King, The (World);Lion King, The (World);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Lost Vikings, The (USA);Lost Vikings, The (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Lost World, The - Jurassic Park (USA, Europe);Lost World, The - Jurassic Park (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Lotus II (USA, Europe);Lotus II (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Lotus Turbo Challenge (USA, Europe);Lotus Turbo Challenge (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
M-1 Abrams Battle Tank (USA, Europe);M-1 Abrams Battle Tank (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
MLBPA Baseball (USA);MLBPA Baseball (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
MUSHA;MUSHA;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
MUSHA - Metallic Uniframe Super Hybrid Armor (USA);MUSHA - Metallic Uniframe Super Hybrid Armor (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Madden NFL '94 (USA, Europe);Madden NFL '94 (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Madden NFL 95 (USA, Europe);Madden NFL 95 (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Madden NFL 96 (USA, Europe);Madden NFL 96 (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Madden NFL 97 (USA, Europe);Madden NFL 97 (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Madden NFL 98 (USA);Madden NFL 98 (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Magic School Bus, The (USA);Magic School Bus, The (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Man Overboard;Man Overboard;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Man Overboard! (Europe);Man Overboard! (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Marble Madness (USA, Europe);Marble Madness (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Mario Andretti Racing (USA, Europe);Mario Andretti Racing (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Mario Lemieux Hockey (USA, Europe);Mario Lemieux Hockey (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Marko;Marko;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Marko (USA);Marko (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Marsupilami (USA);Marsupilami (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Marvel Land (USA);Marvel Land (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Mary Shelley's Frankenstein (USA);Mary Shelley's Frankenstein (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Master of Monsters (USA);Master of Monsters (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Math Blaster - Episode 1 (USA);Math Blaster - Episode 1 (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Mazin Saga - Mutant Fighter (USA);Mazin Saga - Mutant Fighter (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
McDonald's Treasure Land Adventure;McDonald's Treasure Land Adventure;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
McDonald's Treasure Land Adventure (USA);McDonald's Treasure Land Adventure (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Mega Bomberman (USA);Mega Bomberman (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Mega Games 1 (Europe);Mega Games 1 (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Mega Games 2 (Europe);Mega Games 2 (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Mega Games 3 (Europe);Mega Games 3 (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Mega Games 6 Vol. 1 (Europe);Mega Games 6 Vol. 1 (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Mega Games 6 Vol. 2 (Europe);Mega Games 6 Vol. 2 (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Mega Games 6 Vol. 3 (Europe);Mega Games 6 Vol. 3 (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Mega Man - The Wily Wars (Europe);Mega Man - The Wily Wars (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Mega SWIV (Europe);Mega SWIV (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Mega Turrican;Mega Turrican;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Mega Turrican (USA);Mega Turrican (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Menacer 6-Game Cartridge (USA, Europe);Menacer 6-Game Cartridge (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Mercs (World);Mercs (World);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Michael Jackson's Moonwalker;Michael Jackson's Moonwalker;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Michael Jackson's Moonwalker (World) (Rev A);Michael Jackson's Moonwalker (World) (Rev A);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Mick & Mack as the Global Gladiators (USA);Mick & Mack as the Global Gladiators (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Mickey Mania - The Timeless Adventures of Mickey Mouse (USA);Mickey Mania - The Timeless Adventures of Mickey Mouse (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Mickey's Ultimate Challenge (USA);Mickey's Ultimate Challenge (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Micro Machines (USA, Europe);Micro Machines (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Micro Machines 2;Micro Machines 2;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Micro Machines 2 - Turbo Tournament (Europe) (J-Cart);Micro Machines 2 - Turbo Tournament (Europe) (J-Cart);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Micro Machines Military (Europe) (J-Cart);Micro Machines Military (Europe) (J-Cart);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Micro Machines Turbo Tournament 96 (Europe) (v1.1) (J-Cart);Micro Machines Turbo Tournament 96 (Europe) (v1.1) (J-Cart);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Midnight Resistance (USA);Midnight Resistance (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Mig-29 Fighter Pilot (USA);Mig-29 Fighter Pilot (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
